Index,TotalTime_S1,AccelEnergy_S2,JerkEnergy_S3,Smoothest,Worst
1,100010.9431,101764.0845,104136.6613,0,0
2,100008.911,103718.4875,116467.9633,0,0
3,100008.3343,105359.8137,136171.0878,0,0
4,100009.3246,103283.986,113321.0707,0,0
5,100009.1559,103548.9273,115140.0676,0,0
6,100008.5362,104558.4592,124766.7071,0,0
7,100009.6145,102711.0681,109288.9786,0,0
8,100008.1857,106912.2036,152973.3872,0,0
9,100008.8855,104044.5133,118886.6754,0,0
10,100013.7896,101183.0191,102055.3402,1,0
11,100008.5945,104444.7248,123010.8557,0,0
12,100007.8532,108640.0353,175502.8991,0,0
13,100008.5645,104555.1254,124789.4475,0,0
14,100008.1843,106911.9912,161041.8757,0,0
15,100008.6658,104232.0198,121290.7019,0,0
16,100007.9302,108509.5562,177451.1031,0,0
17,100008.0157,107777.1149,169551.1958,0,0
18,100012.8467,101356.3458,102645.9986,0,0
19,100008.5162,104686.6609,126566.7082,0,0
20,100008.2184,105599.5086,136218.9254,0,0
21,100007.8542,108631.1175,175211.6445,0,0
22,100008.911,103718.4875,116467.9633,0,0
23,100009.7434,102622.4807,108867.1137,0,0
24,100008.0218,107656.3607,165854.9934,0,0
25,100008.3136,105360.6705,138475.3397,0,0
26,100008.0347,107092.9459,159023.026,0,0
27,100008.2177,106529.9868,157461.5146,0,0
28,100008.379,104940.0647,129428.8405,0,0
29,100010.2591,102328.9963,107187.1545,0,0
30,100009.2028,103376.3154,114093.9219,0,0
31,100009.344,103024.7922,111288.9471,0,0
32,100008.346,105179.8723,132241.0842,0,0
33,100010.4143,102096.7309,106051.0141,0,0
34,100009.9767,102350.7873,107567.3637,0,0
35,100008.2149,106582.5987,156975.6759,0,0
36,100008.4597,104722.2419,126690.3366,0,0
37,100008.1152,107048.8494,166947.4133,0,0
38,100008.2862,105477.3878,139336.1138,0,0
39,100008.1907,106592.5927,154585.7293,0,0
40,100007.7713,110127.4084,207986.2352,0,1
41,100008.8145,103989.7069,119416.0567,0,0
42,100011.1618,101676.9622,103884.3451,0,0
